tweet,sentiment_label
RT @sailalith1998: @JillaMassVijay @actorvijay @rparthiepan @KeerthyOfficial @Jagadishbliss @Guna09Keerthy17 @yuvaraj_ks_fan @mageshyuvaraj…,Neutral
@JillaMassVijay @actorvijay @rparthiepan @KeerthyOfficial @Jagadishbliss @Guna09Keerthy17 @yuvaraj_ks_fan… https://t.co/Wb7mps3oMX,Neutral
RT @anandagarwal554: BJP says not interested in toppling Kumaraswamy govt! #Karnataka
Mail Today cartoon https://t.co/FvUTio4KWh,Neagtive
@raghuynt @shashibk @anjukkumar @AxPn @anilkarat @murali772 @ksvenu247 @ghanshyam_in @VoicOfNewIndia @kalkur_vivek… https://t.co/coyBiVNdtN,Neutral
RT @ThalapathyLogu1: Today's edit with our all time fav. #ThalapathyVijay &amp; @KeerthyOfficial mam dedicated to them &amp; our besties @JillaMass…,Neutral
RT @1stIndiaNews: येदियुरप्पा का दावा, कांग्रेस-जेडीएस के कई नेता बीजेपी में आने को बेताब

#Karnataka @BJP4Karnataka @INCKarnataka @CMofKar…,Neutral
RT @PradeepSVPWfd: @bbmpcommr @BBMP_MAYOR #BBMP ideally if bbmp collects property tax den dey should provide road,light,garbage collection…,Positive
@bbmpcommr @BBMP_MAYOR #BBMP ideally if bbmp collects property tax den dey should provide road,light,garbage collec… https://t.co/hpzPirvRX0,Positive
RT @sampath_keerthy: @ThalapathyLogu1 @KeerthyOfficial @JillaMassVijay @mageshyuvaraj @ThalaiviRasigan @Sumathy59605919 @Vamsi1165 @sailali…,Neutral
RT @dp_satish: 1983 batch IAS officer T M Vijayabhaskar is the new Chief Secretary to Government of Karnataka. @CMofKarnataka @hd_kumaraswa…,Positive
RT @dp_satish: 1983 batch IAS officer T M Vijayabhaskar is the new Chief Secretary to Government of Karnataka. @CMofKarnataka @hd_kumaraswa…,Positive
@ThalapathyLogu1 @KeerthyOfficial @JillaMassVijay @mageshyuvaraj @ThalaiviRasigan @Sumathy59605919 @Vamsi1165… https://t.co/Qg6zdHDB4Q,Neutral
RT @drashwathcn: ಕುಡಿಯುವ ನೀರಿನ ಹೆಸರಿನಲ್ಲಿ ಕಾಂಗ್ರೆಸ್ ಸರ್ಕಾರ ಭಾರೀ ಭ್ರಷ್ಟಾಚಾರ ನಡೆಸಿರುವ ಪ್ರಕರಣ ಬೆಳಕಿಗೆ ಬಂದಿದೆ! 

ತಮ್ಮ ಹೊಸ ಮಿತ್ರ @siddaramaiah ನ…,Neutral
RT @ShobhaBJP: it’s highly condemnable!! &amp; completely unacceptable 

We urge CM  #Kumaraswamy to have thorough investigation on this matter…,Positive
ಕುಡಿಯುವ ನೀರಿನ ಹೆಸರಿನಲ್ಲಿ ಕಾಂಗ್ರೆಸ್ ಸರ್ಕಾರ ಭಾರೀ ಭ್ರಷ್ಟಾಚಾರ ನಡೆಸಿರುವ ಪ್ರಕರಣ ಬೆಳಕಿಗೆ ಬಂದಿದೆ! 

ತಮ್ಮ ಹೊಸ ಮಿತ್ರ… https://t.co/xg9hFWewzy,Neutral
RT @ThalapathyLogu1: Today's edit with our all time fav. #ThalapathyVijay &amp; @KeerthyOfficial mam dedicated to them &amp; our besties @JillaMass…,Neutral
@RagavanG Understand your views. If every other party chief starts initiating dialogues like this (like Kamal tried… https://t.co/CKaCU7lQl1,Neagtive
@Chandanchweet @hd_kumaraswamy @GTDevegowda This is not told by this account it is declared like that by… https://t.co/7z8Wyis7nj,Neutral
RT @sampath_keerthy: @kumaraswamy_ks7 @WLKeerthyS @mickeyjmeyer @KeerthyOfficial @JillaMassVijay @Sumathy_keerthy @Guna09Keerthy17 @mageshy…,Neutral
RT @sampath_keerthy: @WLKeerthyS @kumaraswamy_ks7 @mickeyjmeyer @KeerthyOfficial @JillaMassVijay @Sumathy_keerthy @Guna09Keerthy17 @mageshy…,Neutral
@ThalapathyLogu1 @KeerthyOfficial @nagashwin7 @dulQuer @dancinemaniac @SwapnaCinema @Samanthaprabhu2… https://t.co/NwPdnwziuU,Neutral
ಜುಲೈ 3 ಮತ್ತು 4 ರಂದು ಬಜೆಟ್ ಮೇಲೆ ಉಭಯ ಸದನಗಳಲ್ಲಿ ಚರ್ಚೆ ನಡೆಯಲಿದೆ. ಜುಲೈ 5 ರಂದು ಬಜೆಟ್ ಮಂಡಿಸಲಾಗುತ್ತದೆ - ಬಸವರಾಜ್ ಹೊರಟ್ಟಿ… https://t.co/iC8t3OdMuM,Neutral
RT @Sumathy59605919: Very nice morning to my Mahanati makkalselvi 🙏 💖 Have a great day my sweetheart ❤️ ❤️ ❤️ ❤️
And to all the fans 🙌 💐
@K…,Positive
RT @sailalith1998: @ThalapathyLogu1 @KeerthyOfficial @nagashwin7 @dulQuer @dancinemaniac @SwapnaCinema @Samanthaprabhu2 @TheDeverakonda @Va…,Neutral
RT @sailalith1998: @ThalapathyLogu1 @KeerthyOfficial @JillaMassVijay @mageshyuvaraj @ThalaiviRasigan @Sumathy59605919 @Vamsi1165 @sampath_k…,Neutral
ಅಧಿವೇಶನಕ್ಕೆ ಗೈರಾಗುವ ಸಚಿವರು ಮತ್ತು ಅಧಿಕಾರಿಗಳ ವಿರುದ್ಧ ಸೂಕ್ತ ಕ್ರಮ ಕೈಗೊಳ್ಳುವುದಾಗಿ ಹಂಗಾಮಿ ಸಭಾಪತಿ ಬಸವರಾಜ್ ಹೊರಟ್ಟಿ ಖಡಕ್ ಎಚ್… https://t.co/t9XVd1iqSU,Neutral
@Ksoustudent @hd_kumaraswamy @GTDevegowda It's TM Vijay Bhaskar kindly rectify,Positive
@ThalapathyLogu1 @KeerthyOfficial @JillaMassVijay @mageshyuvaraj @ThalaiviRasigan @Sumathy59605919 @Vamsi1165… https://t.co/XI7WVKrN1b,Neutral
@ThalapathyLogu1 @KeerthyOfficial @nagashwin7 @dulQuer @dancinemaniac @SwapnaCinema @Samanthaprabhu2… https://t.co/WiroHI1FtA,Neutral
Kumaraswamy, Siddaramaiah Patch up After Yeddyurappa's Call to Rebel JDS-Cong MLAs.. https://t.co/gZanqfdIHA,Neutral
RT @sailalith1998: @ThalapathyLogu1 @KeerthyOfficial @JillaMassVijay @mageshyuvaraj @ThalaiviRasigan @Sumathy59605919 @Vamsi1165 @sampath_k…,Neutral
RT @sailalith1998: https://t.co/TYcqDsOTQa
Here 👆is link of full song of #SadaNannu 😍😘from #Mahanati 
@KeerthyOfficial @nagashwin7 @dulQuer…,Positive
RT @sailalith1998: @ThalapathyLogu1 @KeerthyOfficial @JillaMassVijay @mageshyuvaraj @ThalaiviRasigan @Sumathy59605919 @Vamsi1165 @sampath_k…,Neutral
@ThalapathyLogu1 @KeerthyOfficial @JillaMassVijay @mageshyuvaraj @ThalaiviRasigan @Sumathy59605919 @Vamsi1165… https://t.co/M9mrB8Gtk3,Neutral
RT @Ksoustudent: ನೂತನವಾಗಿ ಆಯ್ಕೆಯಾದ ಶ್ರೀ ಟಿ ಎಂ ವಿಜಯಕುಮಾರ್ ಅವರಿಗೆ ಅಭಿನಂದನೆಗಳು, ಮಾನ್ಯರು ದಯಮಾಡಿ ಶ್ರೀಮತಿ ರತ್ನಪ್ರಭ ಅವರಂತೆ ಕೆಎಸ್ಒಯು ವಿಧ್ಯಾರ್ಥಿಗಳ ಸ…,Neutral
@shashibk @Pradeepisgreat @anjukkumar @AxPn @anilkarat @murali772 @ksvenu247 @ghanshyam_in @VoicOfNewIndia… https://t.co/9cph6wh561,Neutral
RT @ThalapathyLogu1: Today's edit with our all time fav. #ThalapathyVijay &amp; @KeerthyOfficial mam dedicated to them &amp; our besties @JillaMass…,Neutral
RT @ThalapathyLogu1: Today's edit with our all time fav. #ThalapathyVijay &amp; @KeerthyOfficial mam dedicated to them &amp; our besties @JillaMass…,Neutral
@sailalith1998 @KeerthyOfficial @nagashwin7 @dulQuer @dancinemaniac @SwapnaCinema @Samanthaprabhu2 @TheDeverakonda… https://t.co/8LLbhR9nyB,Neutral
RT @sailalith1998: https://t.co/TYcqDsOTQa
Here 👆is link of full song of #SadaNannu 😍😘from #Mahanati 
@KeerthyOfficial @nagashwin7 @dulQuer…,Positive
#कांग्रेस और #जेडीएस के टकरार का फायदा उठाना चाहती है #BJP, चला रही #विधायक तोड़ो #अभियान 
#bengaluru,#yedyurappa,… https://t.co/49gBFZnpD1,Neutral
RT @sailalith1998: https://t.co/TYcqDsOTQa
Here 👆is link of full song of #SadaNannu 😍😘from #Mahanati 
@KeerthyOfficial @nagashwin7 @dulQuer…,Positive
RT @Vamsi1165: @ThalapathyLogu1 @KeerthyOfficial @JillaMassVijay @mageshyuvaraj @ThalaiviRasigan @Sumathy59605919 @sailalith1998 @sampath_k…,Neutral
https://t.co/TYcqDsOTQa
Here 👆is link of full song of #SadaNannu 😍😘from #Mahanati 
@KeerthyOfficial @nagashwin7… https://t.co/BeMRsKkMqr,Positive
@mageshyuvaraj @Vamsi1165 @KeerthyOfficial @JillaMassVijay @ThalaiviRasigan @Sumathy59605919 @sailalith1998… https://t.co/VukzSCyuVf,Neutral
RT @mageshyuvaraj: @Vamsi1165 @ThalapathyLogu1 @KeerthyOfficial @JillaMassVijay @ThalaiviRasigan @Sumathy59605919 @sailalith1998 @sampath_k…,Neutral
@Vamsi1165 @ThalapathyLogu1 @KeerthyOfficial @JillaMassVijay @ThalaiviRasigan @Sumathy59605919 @sailalith1998… https://t.co/OJchngRijB,Neutral
RT @ThalapathyLogu1: Today's edit with our all time fav. #ThalapathyVijay &amp; @KeerthyOfficial mam dedicated to them &amp; our besties @JillaMass…,Neutral
RT @Vamsi1165: @ThalapathyLogu1 @KeerthyOfficial @JillaMassVijay @mageshyuvaraj @ThalaiviRasigan @Sumathy59605919 @sailalith1998 @sampath_k…,Neutral
@ThalapathyLogu1 @KeerthyOfficial @JillaMassVijay @mageshyuvaraj @ThalaiviRasigan @Sumathy59605919 @sailalith1998… https://t.co/MkWh3nAoyE,Neutral
RT @ThalapathyLogu1: Today's edit with our all time fav. #ThalapathyVijay &amp; @KeerthyOfficial mam dedicated to them &amp; our besties @JillaMass…,Neutral
RT @NarayanShastri: We need to congregate at National College Grounds Basavanagudi Bengaluru - best possible venue in Bengaluru to hold the…,Positive
